Title,Release Date,Genre,Revenue,Budget
The Lazarus Effect,2015-02-27,Horror,3300000.0,38400000.0
The Legend of Hercules,2014-01-10,Action,70000000.0,61300000.0
The Legend of Tarzan,2016-07-01,Action,180000000.0,352700000.0
The Lego Movie,2014-02-01,Family,60000000.0,469200000.0
The Letters,2015-12-04,Drama,1000000.0,1600000.0
The Lucky One,2012-04-20,Drama,25000000.0,99400000.0
The Man from U.N.C.L.E.,2015-08-07,Action,75000000.0,109800000.0
The Man with the Iron Fists,2012-11-02,Action,20000000.0,20300000.0
The Martian,2015-09-11,Sci-Fi,108000000.0,630200000.0
The Master,2012-09-14,Drama,32000000.0,28300000.0
The Maze Runner,2014-09-19,Sci-Fi,34000000.0,348300000.0
The Mermaid,2016-02-08,Sci-Fi,60720000.0,553800000.0
The Monuments Men,2014-02-07,Drama,70000000.0,155000000.0
The Mortal Instruments: City of Bones,2013-08-21,Action,60000000.0,90600000.0
The Night Before,2015-11-20,Comedy,25000000.0,52400000.0
The November Man,2014-08-27,Thriller,15000000.0,34800000.0
The Nut Job,2014-01-11,Family,42800000.0,120900000.0
The Oogieloves in the Big Balloon Adventure,2012-08-29,Family,20000000.0,1100000.0
The Other Woman,2014-03-31,Comedy,40000000.0,196700000.0
The Peanuts Movie,2015-11-01,Animation,99000000.0,246200000.0
The Perfect Guy,2015-09-02,Thriller,18000000.0,60300000.0
The Perfect Match,2016-03-11,Romance,5000000.0,10400000.0
The Perks of Being a Wallflower,2012-09-21,Drama,13000000.0,33400000.0
The Pirates! Band of Misfits,2012-04-27,Comedy,55000000.0,123000000.0
The Place Beyond the Pines,2013-03-29,Crime,15000000.0,47000000.0
The Possession,2012-08-31,Horror,14000000.0,78500000.0
The Purge,2013-05-31,Sci-Fi,3000000.0,89300000.0
The Purge: Election Year,2016-07-01,Horror,10000000.0,105600000.0
The Raid 2,2014-01-21,Action,4500000.0,6600000.0
The Raid: Redemption ₪,2012-03-23,Action,1100000.0,9140000.0
The Raven,2012-04-27,Thriller,26000000.0,29700000.0
The Revenant,2015-12-25,Thriller,135000000.0,533000000.0
The Second Best Exotic Marigold Hotel,2015-02-26,Comedy,10000000.0,86000000.0
The Second Mother,2015-01-25,Drama,4000000.0,6200000.0
The Secret Life of Pets,2016-07-08,Adventure,75000000.0,724900000.0
